"trial_type","trial_index","time_elapsed","internal_node_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","trial_number","jar","bead","previous_bead","choice","correct","highH_score","lowH_score","state","rewarded","state1_action","state2_visited","state1_key","state2_key","state1_rt","state2_rt","two_arm_score","total_bonus"
"image-keyboard-response","33","61677","0.0-4.0-6.0-1.0-0.0","1423","","f","","","","","","","","./tasks/HMM-beads/Images/NoChoice.png","highH","0","1","1","0","1","true","","","","","","","","","","","",""
"image-keyboard-response","34","61984","0.0-4.0-6.0-1.0-1.0","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","35","62495","0.0-4.0-6.0-1.0-2.0","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","36","64965","0.0-4.0-6.0-1.0-0.1","2468","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","highH","1","2","1","1","1","true","","","","","","","","","","","",""
"image-keyboard-response","37","65271","0.0-4.0-6.0-1.0-1.1","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","38","65785","0.0-4.0-6.0-1.0-2.1","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","39","66061","0.0-4.0-6.0-1.0-0.2","275","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","highH","2","1","1","1","1","true","","","","","","","","","","","",""
"image-keyboard-response","40","66375","0.0-4.0-6.0-1.0-1.2","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","41","66891","0.0-4.0-6.0-1.0-2.2","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","42","66983","0.0-4.0-6.0-1.0-0.3","91","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","highH","3","2","2","1","1","false","","","","","","","","","","","",""
"image-keyboard-response","43","67292","0.0-4.0-6.0-1.0-1.3","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","44","67808","0.0-4.0-6.0-1.0-2.3","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceWrong.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","45","68213","0.0-4.0-6.0-1.0-0.4","402","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","highH","4","1","1","2","1","true","","","","","","","","","","","",""
"image-keyboard-response","46","68526","0.0-4.0-6.0-1.0-1.4","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","47","69040","0.0-4.0-6.0-1.0-2.4","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","48","69264","0.0-4.0-6.0-1.0-0.5","222","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","highH","5","2","2","1","2","true","","","","","","","","","","","",""
"image-keyboard-response","49","69573","0.0-4.0-6.0-1.0-1.5","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","50","70090","0.0-4.0-6.0-1.0-2.5","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","51","70308","0.0-4.0-6.0-1.0-0.6","215","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","highH","6","1","1","2","1","true","","","","","","","","","","","",""
"image-keyboard-response","52","70620","0.0-4.0-6.0-1.0-1.6","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","53","71133","0.0-4.0-6.0-1.0-2.6","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","54","71406","0.0-4.0-6.0-1.0-0.7","272","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","highH","7","2","2","1","2","true","","","","","","","","","","","",""
"image-keyboard-response","55","71724","0.0-4.0-6.0-1.0-1.7","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","56","72237","0.0-4.0-6.0-1.0-2.7","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","57","72432","0.0-4.0-6.0-1.0-0.8","192","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","highH","8","1","1","2","1","true","","","","","","","","","","","",""
"image-keyboard-response","58","72736","0.0-4.0-6.0-1.0-1.8","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","59","73250","0.0-4.0-6.0-1.0-2.8","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","60","73544","0.0-4.0-6.0-1.0-0.9","289","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","highH","9","2","2","1","2","true","","","","","","","","","","","",""
"image-keyboard-response","61","73856","0.0-4.0-6.0-1.0-1.9","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","62","74368","0.0-4.0-6.0-1.0-2.9","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","63","74608","0.0-4.0-6.0-1.0-0.10","235","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","highH","10","1","1","2","1","true","","","","","","","","","","","",""
"image-keyboard-response","64","74913","0.0-4.0-6.0-1.0-1.10","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","65","75424","0.0-4.0-6.0-1.0-2.10","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","66","75600","0.0-4.0-6.0-1.0-0.11","172","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","highH","11","2","1","1","2","false","","","","","","","","","","","",""
"image-keyboard-response","67","75905","0.0-4.0-6.0-1.0-1.11","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","68","76419","0.0-4.0-6.0-1.0-2.11","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceWrong.png","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","69","78945","0.0-4.0-6.0-2.0","2524",""," ","","","","","","","","","","","","","","","","10","","","","","","","","","","",""
"instructions","70","94314","0.0-4.0-7.0","15367","","","","[{""page_index"":0,""viewing_time"":12294},{""page_index"":1,""viewing_time"":1490},{""page_index"":2,""viewing_time"":1583}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","71","95277","0.0-4.0-8.0-0.0","959",""," ","","","","","","","","<div align=center>In this block, there will be a <b>1% chance</b> that the jar on the next trial will be different from the jar on the current trial.<br><br></div>","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","72","98717","0.0-4.0-8.0-1.0-0.0","3437","","j","","","","","","","","./tasks/HMM-beads/Images/NoChoice.png","lowH","0","2","2","0","2","true","","","","","","","","","","","",""
"image-keyboard-response","73","99031","0.0-4.0-8.0-1.0-1.0","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","74","99545","0.0-4.0-8.0-1.0-2.0","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","75","99739","0.0-4.0-8.0-1.0-0.1","195","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","lowH","1","2","2","2","2","true","","","","","","","","","","","",""
"image-keyboard-response","76","100043","0.0-4.0-8.0-1.0-1.1","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","77","100555","0.0-4.0-8.0-1.0-2.1","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","78","100766","0.0-4.0-8.0-1.0-0.2","209","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","lowH","2","2","2","2","2","true","","","","","","","","","","","",""
"image-keyboard-response","79","101070","0.0-4.0-8.0-1.0-1.2","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","80","101585","0.0-4.0-8.0-1.0-2.2","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","81","101775","0.0-4.0-8.0-1.0-0.3","186","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","lowH","3","2","2","2","2","true","","","","","","","","","","","",""
"image-keyboard-response","82","102080","0.0-4.0-8.0-1.0-1.3","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","83","102595","0.0-4.0-8.0-1.0-2.3","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","84","102798","0.0-4.0-8.0-1.0-0.4","200","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","lowH","4","2","1","2","2","false","","","","","","","","","","","",""
"image-keyboard-response","85","103105","0.0-4.0-8.0-1.0-1.4","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","86","103618","0.0-4.0-8.0-1.0-2.4","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceWrong.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","87","103857","0.0-4.0-8.0-1.0-0.5","236","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","lowH","5","2","2","1","2","true","","","","","","","","","","","",""
"image-keyboard-response","88","104165","0.0-4.0-8.0-1.0-1.5","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","89","104677","0.0-4.0-8.0-1.0-2.5","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","90","104825","0.0-4.0-8.0-1.0-0.6","148","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","lowH","6","2","2","2","2","true","","","","","","","","","","","",""
"image-keyboard-response","91","105142","0.0-4.0-8.0-1.0-1.6","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","92","105658","0.0-4.0-8.0-1.0-2.6","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","93","105822","0.0-4.0-8.0-1.0-0.7","160","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","lowH","7","2","2","2","2","true","","","","","","","","","","","",""
"image-keyboard-response","94","106138","0.0-4.0-8.0-1.0-1.7","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","95","106642","0.0-4.0-8.0-1.0-2.7","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","96","106804","0.0-4.0-8.0-1.0-0.8","160","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","lowH","8","2","2","2","2","true","","","","","","","","","","","",""
"image-keyboard-response","97","107109","0.0-4.0-8.0-1.0-1.8","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","98","107623","0.0-4.0-8.0-1.0-2.8","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","99","107720","0.0-4.0-8.0-1.0-0.9","97","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","lowH","9","2","2","2","2","true","","","","","","","","","","","",""
"image-keyboard-response","100","108026","0.0-4.0-8.0-1.0-1.9","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","101","108537","0.0-4.0-8.0-1.0-2.9","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","102","108712","0.0-4.0-8.0-1.0-0.10","170","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","lowH","10","2","2","2","2","true","","","","","","","","","","","",""
"image-keyboard-response","103","109021","0.0-4.0-8.0-1.0-1.10","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","104","109534","0.0-4.0-8.0-1.0-2.10","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","105","109667","0.0-4.0-8.0-1.0-0.11","127","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","lowH","11","2","2","2","2","true","","","","","","","","","","","",""
"image-keyboard-response","106","109971","0.0-4.0-8.0-1.0-1.11","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","107","110483","0.0-4.0-8.0-1.0-2.11","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","108","111775","0.0-4.0-8.0-2.0","1291",""," ","","","","","","","","","","","","","","","","","11","","","","","","","","","",""
"instructions","109","121310","0.0-4.0-9.0","9532","","","","[{""page_index"":0,""viewing_time"":9532}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","110","122991","0.0-5.0","1679","","","","[{""page_index"":0,""viewing_time"":1167},{""page_index"":1,""viewing_time"":512}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","111","123493","0.0-6.0","499","","","","[{""page_index"":0,""viewing_time"":499}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","112","123639","0.0-7.0-0.0","","","","","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","113","125241","0.0-7.0-1.0","1600","","","","[{""page_index"":0,""viewing_time"":580},{""page_index"":1,""viewing_time"":498},{""page_index"":2,""viewing_time"":221},{""page_index"":3,""viewing_time"":169},{""page_index"":4,""viewing_time"":132}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","114","125816","0.0-7.0-2.0-0.0","574","","f","","","","","","","","<div style=""background-image: url('./tasks/two-arm-new/img/green_planet.png')""><div id=""jspsych-space-daw-top-stim-left"" ></div><div id=""jspsych-space-daw-top-stim-middle"" ></div><div id=""jspsych-space-daw-top-stim-right"" ></div><div style=""clear:both""></div><div id=""jspsych-space-daw-bottom-stim-left"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_1.png')""></div><div id=""jspsych-space-daw-bottom-stim-middle"" ></div><div id=""jspsych-space-daw-bottom-stim-right"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_2_deact.png')""></div></div>","good_alien_practice","0","","","","1","","","","green","1","","","","","","","",""
"html-keyboard-response","115","126328","0.0-7.0-2.0-1.0","null","","null","","","","","","","","<div style=""background-image: url('./tasks/two-arm-new/img/green_planet.png')""><div id=""jspsych-space-daw-top-stim-left"" ></div><div id=""jspsych-space-daw-top-stim-middle"" ></div><div id=""jspsych-space-daw-top-stim-right"" ></div><div style=""clear:both""></div><div id=""jspsych-space-daw-bottom-stim-left"" class=""jspsych-space-daw-bottom-stim-border"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_1.png')""></div><div id=""jspsych-space-daw-bottom-stim-middle"" ></div><div id=""jspsych-space-daw-bottom-stim-right"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_2_deact.png')""></div></div>","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","116","127337","0.0-7.0-2.0-2.0","null","","null","","","","","","","","<div style=""background-image: url('./tasks/two-arm-new/img/green_planet.png')""><div id=""jspsych-space-daw-top-stim-left"" style=""background-image: url('./tasks/two-arm-new/img/treasure.png')""></div><div id=""jspsych-space-daw-top-stim-middle"" ></div><div id=""jspsych-space-daw-top-stim-right"" ></div><div style=""clear:both""></div><div id=""jspsych-space-daw-bottom-stim-left"" class=""jspsych-space-daw-bottom-stim-border"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_1.png')""></div><div id=""jspsych-space-daw-bottom-stim-middle"" ></div><div id=""jspsych-space-daw-bottom-stim-right"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_2_deact.png')""></div></div>","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","117","127850","0.0-7.0-2.0-0.1","511","","j","","","","","","","","<div style=""background-image: url('./tasks/two-arm-new/img/green_planet.png')""><div id=""jspsych-space-daw-top-stim-left"" ></div><div id=""jspsych-space-daw-top-stim-middle"" ></div><div id=""jspsych-space-daw-top-stim-right"" ></div><div style=""clear:both""></div><div id=""jspsych-space-daw-bottom-stim-left"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_2_deact.png')""></div><div id=""jspsych-space-daw-bottom-stim-middle"" ></div><div id=""jspsych-space-daw-bottom-stim-right"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_1.png')""></div></div>","good_alien_practice","1","","","","1","","","","green","1","","","","","","","",""
"html-keyboard-response","118","128364","0.0-7.0-2.0-1.1","null","","null","","","","","","","","<div style=""background-image: url('./tasks/two-arm-new/img/green_planet.png')""><div id=""jspsych-space-daw-top-stim-left"" ></div><div id=""jspsych-space-daw-top-stim-middle"" ></div><div id=""jspsych-space-daw-top-stim-right"" ></div><div style=""clear:both""></div><div id=""jspsych-space-daw-bottom-stim-left"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_2_deact.png')""></div><div id=""jspsych-space-daw-bottom-stim-middle"" ></div><div id=""jspsych-space-daw-bottom-stim-right"" class=""jspsych-space-daw-bottom-stim-border"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_1.png')""></div></div>","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","119","129377","0.0-7.0-2.0-2.1","null","","null","","","","","","","","<div style=""background-image: url('./tasks/two-arm-new/img/green_planet.png')""><div id=""jspsych-space-daw-top-stim-left"" ></div><div id=""jspsych-space-daw-top-stim-middle"" ></div><div id=""jspsych-space-daw-top-stim-right"" style=""background-image: url('./tasks/two-arm-new/img/treasure.png')""></div><div style=""clear:both""></div><div id=""jspsych-space-daw-bottom-stim-left"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_2_deact.png')""></div><div id=""jspsych-space-daw-bottom-stim-middle"" ></div><div id=""jspsych-space-daw-bottom-stim-right"" class=""jspsych-space-daw-bottom-stim-border"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_1.png')""></div></div>","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","120","129429","0.0-7.0-2.0-0.2","51","","f","","","","","","","","<div style=""background-image: url('./tasks/two-arm-new/img/green_planet.png')""><div id=""jspsych-space-daw-top-stim-left"" ></div><div id=""jspsych-space-daw-top-stim-middle"" ></div><div id=""jspsych-space-daw-top-stim-right"" ></div><div style=""clear:both""></div><div id=""jspsych-space-daw-bottom-stim-left"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_1.png')""></div><div id=""jspsych-space-daw-bottom-stim-middle"" ></div><div id=""jspsych-space-daw-bottom-stim-right"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_2_deact.png')""></div></div>","good_alien_practice","2","","","","1","","","","green","1","","","","","","","",""
