"trial_type","trial_index","time_elapsed","internal_node_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","trial_number","jar","bead","previous_bead","choice","correct","lowH_score","highH_score","state","rewarded","state1_action","state2_visited","state1_key","state2_key","state1_rt","state2_rt","two_arm_score","total_bonus"
"image-keyboard-response","25","36908","0.0-4.0-4.0-1.0-1.3","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","26","37422","0.0-4.0-4.0-1.0-2.3","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","27","37705","0.0-4.0-4.0-1.0-0.4","282","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","4","1","2","1","1","false","","","","","","","","","","","",""
"image-keyboard-response","28","38009","0.0-4.0-4.0-1.0-1.4","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","29","38525","0.0-4.0-4.0-1.0-2.4","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceWrong.png","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","30","44454","0.0-4.0-4.0-2.0","5929",""," ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","31","47504","0.0-4.0-5.0","3049","","","","[{""page_index"":0,""viewing_time"":2065},{""page_index"":1,""viewing_time"":983}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","32","48158","0.0-4.0-6.0-0.0","654",""," ","","","","","","","","<div align=center>In this block, there will be a <b>1% chance</b> that the jar on the next trial will be different from the jar on the current trial.<br><br></div>","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","33","48779","0.0-4.0-6.0-1.0-0.0","619","","f","","","","","","","","./tasks/HMM-beads/Images/NoChoice.png","lowH","0","2","2","0","1","false","","","","","","","","","","","",""
"image-keyboard-response","34","49091","0.0-4.0-6.0-1.0-1.0","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","35","49603","0.0-4.0-6.0-1.0-2.0","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceWrong.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","36","49807","0.0-4.0-6.0-1.0-0.1","202","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","lowH","1","2","2","2","2","true","","","","","","","","","","","",""
"image-keyboard-response","37","50118","0.0-4.0-6.0-1.0-1.1","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","38","50633","0.0-4.0-6.0-1.0-2.1","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","39","50891","0.0-4.0-6.0-1.0-0.2","257","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","lowH","2","2","2","2","2","true","","","","","","","","","","","",""
"image-keyboard-response","40","51207","0.0-4.0-6.0-1.0-1.2","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","41","51722","0.0-4.0-6.0-1.0-2.2","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","42","51964","0.0-4.0-6.0-1.0-0.3","241","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","lowH","3","2","2","2","2","true","","","","","","","","","","","",""
"image-keyboard-response","43","52265","0.0-4.0-6.0-1.0-1.3","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","44","52777","0.0-4.0-6.0-1.0-2.3","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","45","53007","0.0-4.0-6.0-1.0-0.4","229","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","lowH","4","2","1","2","2","false","","","","","","","","","","","",""
"image-keyboard-response","46","53319","0.0-4.0-6.0-1.0-1.4","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","47","53832","0.0-4.0-6.0-1.0-2.4","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceWrong.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","48","54105","0.0-4.0-6.0-1.0-0.5","270","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","lowH","5","2","2","1","2","true","","","","","","","","","","","",""
"image-keyboard-response","49","54411","0.0-4.0-6.0-1.0-1.5","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","50","54923","0.0-4.0-6.0-1.0-2.5","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","51","55160","0.0-4.0-6.0-1.0-0.6","232","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","lowH","6","2","2","2","2","true","","","","","","","","","","","",""
"image-keyboard-response","52","55468","0.0-4.0-6.0-1.0-1.6","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","53","55983","0.0-4.0-6.0-1.0-2.6","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","54","56205","0.0-4.0-6.0-1.0-0.7","219","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","lowH","7","2","2","2","2","true","","","","","","","","","","","",""
"image-keyboard-response","55","56511","0.0-4.0-6.0-1.0-1.7","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","56","57022","0.0-4.0-6.0-1.0-2.7","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","57","57186","0.0-4.0-6.0-1.0-0.8","162","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","lowH","8","2","2","2","2","true","","","","","","","","","","","",""
"image-keyboard-response","58","57502","0.0-4.0-6.0-1.0-1.8","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","59","58017","0.0-4.0-6.0-1.0-2.8","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","60","58201","0.0-4.0-6.0-1.0-0.9","179","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","lowH","9","2","2","2","2","true","","","","","","","","","","","",""
"image-keyboard-response","61","58516","0.0-4.0-6.0-1.0-1.9","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","62","59028","0.0-4.0-6.0-1.0-2.9","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","63","59195","0.0-4.0-6.0-1.0-0.10","163","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","lowH","10","2","2","2","2","true","","","","","","","","","","","",""
"image-keyboard-response","64","59508","0.0-4.0-6.0-1.0-1.10","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","65","60023","0.0-4.0-6.0-1.0-2.10","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","66","60213","0.0-4.0-6.0-1.0-0.11","188","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","lowH","11","2","2","2","1","false","","","","","","","","","","","",""
"image-keyboard-response","67","60529","0.0-4.0-6.0-1.0-1.11","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","68","61045","0.0-4.0-6.0-1.0-2.11","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceWrong.png","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","69","69699","0.0-4.0-6.0-2.0","8651",""," ","","","","","","","","","","","","","","","","9","","","","","","","","","","",""
"instructions","70","97872","0.0-4.0-7.0","28172","","","","[{""page_index"":0,""viewing_time"":639},{""page_index"":1,""viewing_time"":1059},{""page_index"":2,""viewing_time"":26473}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","71","98824","0.0-4.0-8.0-0.0","947",""," ","","","","","","","","<div align=center>In this block, there will be a <b>99%</b> chance that the jar on the next trial will be different from the jar on the current trial.<br><br></div>","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","72","102444","0.0-4.0-8.0-1.0-0.0","3617","","f","","","","","","","","./tasks/HMM-beads/Images/NoChoice.png","highH","0","1","1","0","1","true","","","","","","","","","","","",""
"image-keyboard-response","73","102749","0.0-4.0-8.0-1.0-1.0","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","74","103262","0.0-4.0-8.0-1.0-2.0","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","75","103748","0.0-4.0-8.0-1.0-0.1","481","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","highH","1","2","1","1","1","true","","","","","","","","","","","",""
"image-keyboard-response","76","104056","0.0-4.0-8.0-1.0-1.1","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","77","104572","0.0-4.0-8.0-1.0-2.1","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","78","104849","0.0-4.0-8.0-1.0-0.2","274","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","highH","2","1","1","1","1","true","","","","","","","","","","","",""
"image-keyboard-response","79","105152","0.0-4.0-8.0-1.0-1.2","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","80","105666","0.0-4.0-8.0-1.0-2.2","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","81","105996","0.0-4.0-8.0-1.0-0.3","327","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","highH","3","2","2","1","2","true","","","","","","","","","","","",""
"image-keyboard-response","82","106308","0.0-4.0-8.0-1.0-1.3","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","83","106821","0.0-4.0-8.0-1.0-2.3","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","84","107163","0.0-4.0-8.0-1.0-0.4","340","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","highH","4","1","1","2","1","true","","","","","","","","","","","",""
"image-keyboard-response","85","107475","0.0-4.0-8.0-1.0-1.4","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","86","107988","0.0-4.0-8.0-1.0-2.4","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","87","108726","0.0-4.0-8.0-1.0-0.5","736","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","highH","5","2","2","1","2","true","","","","","","","","","","","",""
"image-keyboard-response","88","109030","0.0-4.0-8.0-1.0-1.5","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","89","109542","0.0-4.0-8.0-1.0-2.5","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","90","109846","0.0-4.0-8.0-1.0-0.6","303","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","highH","6","1","1","2","1","true","","","","","","","","","","","",""
"image-keyboard-response","91","110161","0.0-4.0-8.0-1.0-1.6","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","92","110673","0.0-4.0-8.0-1.0-2.6","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","93","114725","0.0-4.0-8.0-1.0-0.7","4049","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","highH","7","2","2","1","2","true","","","","","","","","","","","",""
"image-keyboard-response","94","115031","0.0-4.0-8.0-1.0-1.7","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","95","115547","0.0-4.0-8.0-1.0-2.7","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","96","115953","0.0-4.0-8.0-1.0-0.8","405","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","highH","8","1","1","2","1","true","","","","","","","","","","","",""
"image-keyboard-response","97","116261","0.0-4.0-8.0-1.0-1.8","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","98","116774","0.0-4.0-8.0-1.0-2.8","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","99","119085","0.0-4.0-8.0-1.0-0.9","2310","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","highH","9","2","2","1","2","true","","","","","","","","","","","",""
"image-keyboard-response","100","119401","0.0-4.0-8.0-1.0-1.9","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","101","119910","0.0-4.0-8.0-1.0-2.9","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","102","120596","0.0-4.0-8.0-1.0-0.10","684","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","highH","10","1","1","2","2","false","","","","","","","","","","","",""
"image-keyboard-response","103","120907","0.0-4.0-8.0-1.0-1.10","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","104","121421","0.0-4.0-8.0-1.0-2.10","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceWrong.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","105","125442","0.0-4.0-8.0-1.0-0.11","4014","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","highH","11","2","1","1","1","true","","","","","","","","","","","",""
"image-keyboard-response","106","125752","0.0-4.0-8.0-1.0-1.11","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","107","126267","0.0-4.0-8.0-1.0-2.11","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","108","133801","0.0-4.0-8.0-2.0","7531",""," ","","","","","","","","","","","","","","","","","11","","","","","","","","","",""
"instructions","109","453885","0.0-4.0-9.0","320085","","","","[{""page_index"":0,""viewing_time"":320084}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","110","455539","0.0-5.0","1653","","","","[{""page_index"":0,""viewing_time"":894},{""page_index"":1,""viewing_time"":759}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","111","456214","0.0-6.0","673","","","","[{""page_index"":0,""viewing_time"":673}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","112","456404","0.0-7.0-0.0","","","","","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","113","460245","0.0-7.0-1.0","3840","","","","[{""page_index"":0,""viewing_time"":1076},{""page_index"":1,""viewing_time"":770},{""page_index"":2,""viewing_time"":766},{""page_index"":3,""viewing_time"":480},{""page_index"":4,""viewing_time"":747}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","114","461320","0.0-7.0-2.0-0.0","1072","","j","","","","","","","","<div style=""background-image: url('./tasks/two-arm-new/img/green_planet.png')""><div id=""jspsych-space-daw-top-stim-left"" ></div><div id=""jspsych-space-daw-top-stim-middle"" ></div><div id=""jspsych-space-daw-top-stim-right"" ></div><div style=""clear:both""></div><div id=""jspsych-space-daw-bottom-stim-left"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_2_deact.png')""></div><div id=""jspsych-space-daw-bottom-stim-middle"" ></div><div id=""jspsych-space-daw-bottom-stim-right"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_1.png')""></div></div>","good_alien_practice","0","","","","1","","","","green","1","","","","","","","",""
"html-keyboard-response","115","461828","0.0-7.0-2.0-1.0","null","","null","","","","","","","","<div style=""background-image: url('./tasks/two-arm-new/img/green_planet.png')""><div id=""jspsych-space-daw-top-stim-left"" ></div><div id=""jspsych-space-daw-top-stim-middle"" ></div><div id=""jspsych-space-daw-top-stim-right"" ></div><div style=""clear:both""></div><div id=""jspsych-space-daw-bottom-stim-left"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_2_deact.png')""></div><div id=""jspsych-space-daw-bottom-stim-middle"" ></div><div id=""jspsych-space-daw-bottom-stim-right"" class=""jspsych-space-daw-bottom-stim-border"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_1.png')""></div></div>","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","116","462843","0.0-7.0-2.0-2.0","null","","null","","","","","","","","<div style=""background-image: url('./tasks/two-arm-new/img/green_planet.png')""><div id=""jspsych-space-daw-top-stim-left"" ></div><div id=""jspsych-space-daw-top-stim-middle"" ></div><div id=""jspsych-space-daw-top-stim-right"" style=""background-image: url('./tasks/two-arm-new/img/treasure.png')""></div><div style=""clear:both""></div><div id=""jspsych-space-daw-bottom-stim-left"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_2_deact.png')""></div><div id=""jspsych-space-daw-bottom-stim-middle"" ></div><div id=""jspsych-space-daw-bottom-stim-right"" class=""jspsych-space-daw-bottom-stim-border"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_1.png')""></div></div>","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","117","463076","0.0-7.0-2.0-0.1","231","","j","","","","","","","","<div style=""background-image: url('./tasks/two-arm-new/img/green_planet.png')""><div id=""jspsych-space-daw-top-stim-left"" ></div><div id=""jspsych-space-daw-top-stim-middle"" ></div><div id=""jspsych-space-daw-top-stim-right"" ></div><div style=""clear:both""></div><div id=""jspsych-space-daw-bottom-stim-left"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_2_deact.png')""></div><div id=""jspsych-space-daw-bottom-stim-middle"" ></div><div id=""jspsych-space-daw-bottom-stim-right"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_1.png')""></div></div>","good_alien_practice","1","","","","1","","","","green","1","","","","","","","",""
"html-keyboard-response","118","463591","0.0-7.0-2.0-1.1","null","","null","","","","","","","","<div style=""background-image: url('./tasks/two-arm-new/img/green_planet.png')""><div id=""jspsych-space-daw-top-stim-left"" ></div><div id=""jspsych-space-daw-top-stim-middle"" ></div><div id=""jspsych-space-daw-top-stim-right"" ></div><div style=""clear:both""></div><div id=""jspsych-space-daw-bottom-stim-left"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_2_deact.png')""></div><div id=""jspsych-space-daw-bottom-stim-middle"" ></div><div id=""jspsych-space-daw-bottom-stim-right"" class=""jspsych-space-daw-bottom-stim-border"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_1.png')""></div></div>","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","119","464593","0.0-7.0-2.0-2.1","null","","null","","","","","","","","<div style=""background-image: url('./tasks/two-arm-new/img/green_planet.png')""><div id=""jspsych-space-daw-top-stim-left"" ></div><div id=""jspsych-space-daw-top-stim-middle"" ></div><div id=""jspsych-space-daw-top-stim-right"" style=""background-image: url('./tasks/two-arm-new/img/treasure.png')""></div><div style=""clear:both""></div><div id=""jspsych-space-daw-bottom-stim-left"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_2_deact.png')""></div><div id=""jspsych-space-daw-bottom-stim-middle"" ></div><div id=""jspsych-space-daw-bottom-stim-right"" class=""jspsych-space-daw-bottom-stim-border"" style=""background-image: url('./tasks/two-arm-new/img/green_stim_1.png')""></div></div>","","","","","","","","","","","","","","","","","","",""
