"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","trial_number","jar","bead","previous_bead","choice","correct"
"image-keyboard-response","19","110851","0.0-4.0-4.0-1.0-2.1","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","",""
"image-keyboard-response","20","110936","0.0-4.0-4.0-1.0-0.2","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","83","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","2","1","2","1","1","false"
"image-keyboard-response","21","111243","0.0-4.0-4.0-1.0-1.2","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","",""
"image-keyboard-response","22","111757","0.0-4.0-4.0-1.0-2.2","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceWrong.png","","","","","","",""
"image-keyboard-response","23","114169","0.0-4.0-4.0-1.0-0.3","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","2408","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","practice","3","1","1","2","1","true"
"image-keyboard-response","24","114486","0.0-4.0-4.0-1.0-1.3","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","",""
"image-keyboard-response","25","114998","0.0-4.0-4.0-1.0-2.3","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","",""
"image-keyboard-response","26","115601","0.0-4.0-4.0-1.0-0.4","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","599","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","4","1","2","1","1","false"
"image-keyboard-response","27","115917","0.0-4.0-4.0-1.0-1.4","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","",""
"image-keyboard-response","28","116431","0.0-4.0-4.0-1.0-2.4","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceWrong.png","","","","","","",""
"image-keyboard-response","29","116553","0.0-4.0-4.0-1.0-0.5","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","117","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","practice","5","1","1","2","1","true"
"image-keyboard-response","30","116867","0.0-4.0-4.0-1.0-1.5","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","",""
"image-keyboard-response","31","117382","0.0-4.0-4.0-1.0-2.5","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","",""
"image-keyboard-response","32","117446","0.0-4.0-4.0-1.0-0.6","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","60","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","6","1","2","1","1","false"
"image-keyboard-response","33","117757","0.0-4.0-4.0-1.0-1.6","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","",""
"image-keyboard-response","34","118274","0.0-4.0-4.0-1.0-2.6","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceWrong.png","","","","","","",""
"image-keyboard-response","35","118858","0.0-4.0-4.0-1.0-0.7","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","581","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","practice","7","1","1","2","1","true"
"image-keyboard-response","36","119165","0.0-4.0-4.0-1.0-1.7","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","",""
"image-keyboard-response","37","119673","0.0-4.0-4.0-1.0-2.7","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","",""
"image-keyboard-response","38","201690","0.0-4.0-4.0-1.0-0.8","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","82013","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","8","1","1","1","2","false"
"image-keyboard-response","39","201999","0.0-4.0-4.0-1.0-1.8","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","",""
"image-keyboard-response","40","202507","0.0-4.0-4.0-1.0-2.8","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceWrong.png","","","","","","",""
"image-keyboard-response","41","202618","0.0-4.0-4.0-1.0-0.9","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","108","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","9","2","2","1","2","true"
"image-keyboard-response","42","202939","0.0-4.0-4.0-1.0-1.9","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","",""
"image-keyboard-response","43","203454","0.0-4.0-4.0-1.0-2.9","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","",""
"image-keyboard-response","44","203533","0.0-4.0-4.0-1.0-0.10","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","67","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","practice","10","2","1","2","2","false"
"image-keyboard-response","45","203844","0.0-4.0-4.0-1.0-1.10","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","",""
"image-keyboard-response","46","204359","0.0-4.0-4.0-1.0-2.10","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceWrong.png","","","","","","",""
"image-keyboard-response","47","204477","0.0-4.0-4.0-1.0-0.11","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","115","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","11","2","2","1","2","true"
"image-keyboard-response","48","204795","0.0-4.0-4.0-1.0-1.11","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","",""
"image-keyboard-response","49","205310","0.0-4.0-4.0-1.0-2.11","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","",""
"image-keyboard-response","50","205381","0.0-4.0-4.0-1.0-0.12","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","67","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","practice","12","2","2","2","2","true"
"image-keyboard-response","51","205698","0.0-4.0-4.0-1.0-1.12","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","",""
"image-keyboard-response","52","206211","0.0-4.0-4.0-1.0-2.12","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","",""
"image-keyboard-response","53","206326","0.0-4.0-4.0-1.0-0.13","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","110","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","practice","13","2","2","2","2","true"
"image-keyboard-response","54","206633","0.0-4.0-4.0-1.0-1.13","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","",""
"image-keyboard-response","55","207147","0.0-4.0-4.0-1.0-2.13","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","",""
"image-keyboard-response","56","207247","0.0-4.0-4.0-1.0-0.14","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","96","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","practice","14","2","2","2","2","true"
"image-keyboard-response","57","207566","0.0-4.0-4.0-1.0-1.14","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","",""
"image-keyboard-response","58","208082","0.0-4.0-4.0-1.0-2.14","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","",""
